Player,Tm,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,Signed Using,Guaranteed\
Alfonzo McKinnie\\mckinal01,CLE,1361046,1762796,1910860,2165298,,,MLE,$2253031\
Anthony Tolliver\\tollian01,SAC,2419852,,,,,,,$2419852\
Avery Bradley\\bradlav01,LAL,4767000,5005350,,,,,Room Exception,$9772350\
Cameron Payne\\payneca01,PHO,196288,1977011,,,,,Minimum Salary,$196288\
David Nwaba\\nwabada01,HOU,903111,1862250,,,,,MLE,$903111\
DeMarre Carroll\\carrode01,SAS,6842307,6167887,1252127,,,,,$14262321\
Derrick Walton\\waltode01,ATL,1445697,,,,,,,$1445697\
Dion Waiters\\waitedi01,MEM,12100000,12650000,,,,,,$24750000\
Donta Hall\\halldo01,BRK,101504,,,,,,Minimum Salary,$101504\
Dragan Bender\\bendedr01,MIL,1678854,,,,,,,$1678854\
Dwight Howard\\howardw01,LAL,2564753,,,,,,Minimum Salary,$2564753\
Gary Clark\\clarkga01,HOU,708426,,,,,,,$708426\
George Hill\\hillge01,MIL,9133907,9590602,10047297,,,,Cap Space,$21000000\
J.R. Smith\\smithjr01,CLE,1456667,1456667,1456666,,,,,$4370000\
Jarrod Uthoff\\uthofja01,WAS,163356,,,,,,Minimum Salary,$163356\
Jaylen Adams\\adamsja01,POR,163356,,,,,,Minimum Salary,$163356\
Jeff Green\\greenje02,UTA,2564753,,,,,,,$2564753\
Joakim Noah\\noahjo01,NYK,6431666,6431666,6431666,,,,,$19294998\
Jonah Bolden\\boldejo01,PHI,1698450,,,,,,,$1698450\
Jordan Bell\\belljo01,MEM,1620564,,,,,,,$1620564\
Justin Anderson\\anderju01,BRK,196288,,,,,,Minimum Salary,$294432\
Justin Patton\\pattoju01,DET,183115,1762796,,,,,Minimum Salary,$183115\
Kyle Korver\\korveky01,MIL,2564753,,,,,,Minimum Salary,$2564753\
Markieff Morris\\morrima02,DET,2241808,,,,,,,$2241808\
Marquese Chriss\\chrisma01,GSW,654468,1824003,,,,,Minimum Salary,$2213272\
Marvin Williams\\willima02,CHO,15006250,,,,,,,$15006250\
Michael Kidd-Gilchrist\\kiddgmi01,CHO,13000000,,,,,,,$13000000\
Mychal Mulder\\muldemy01,GSW,187782,1517981,1782621,,,,Minimum Salary,$238534\
Patrick Patterson\\pattepa01,OKC,737067,737067,737066,,,,,$2211200\
Pau Gasol\\gasolpa01,SAS,5100000,,,,,,,$5100000\
Reggie Jackson\\jacksre01,DET,17286956,,,,,,,$17286956\
Ryan Anderson\\anderry01,MIA,5214583,5214583,5214584,,,,,$15643750\
Timothe Luwawu-Cabarrot\\luwawti01,BRK,654468,1824003,,,,,Minimum Salary,$844170\
Trey Burke\\burketr01,PHI,2028594,,,,,,,$2028594\
Troy Daniels\\danietr01,LAL,2028594,,,,,,,$2028594\
Tyler Cook\\cookty01,CLE,101504,,,,,,,$151504\
Tyler Johnson\\johnsty01,PHO,19245370,,,,,,,$19245370\
A.J. Hammons\\hammoaj01,MIA,350087,350087,,,,,,$700174\
Aaron Gordon\\gordoaa01,ORL,19863636,18136364,16409091,,,,Bird Rights,$54409091\
Aaron Holiday\\holidaa01,IND,2239200,2345640,3980551,,,,1st Round Pick,$4584840\
Abdel Nader\\naderab01,OKC,1618520,1752950,,,,,Cap Space,$1618520\
Admiral Schofield\\schofad01,WAS,898310,1517981,1782621,,,,MLE,$4198912\
Al Horford\\horfoal01,PHI,28000000,27500000,27000000,26500000,,,Cap Space,$97000000\
Al-Farouq Aminu\\aminual01,ORL,9258000,9720900,10183800,,,,MLE,$29162700\
Alec Burks\\burksal01,PHI,2320044,,,,,,Minimum Salary,$2320044\
Alen Smailagic\\smailal01,GSW,898310,1517981,1782621,1930681,,,MLE,$2415891\
Alex Caruso\\carusal01,LAL,2750000,2750000,,,,,Room Exception,$5500000\
Alex Len\\lenal01,SAC,4160000,,,,,,Room Exception,$4160000\
Alize Johnson\\johnsal02,IND,1416852,,,,,,Minimum Salary,$1416852\
Allen Crabbe\\crabbal01,MIN,17818456,,,,,,,$17818456\
Allonzo Trier\\trieral01,NYK,3551100,,,,,,,$3551100\
Amile Jefferson\\jeffeam01,ORL,1445697,,,,,,,$1445697\
Anderson Varejao\\varejan01,POR,1913345,1913345,,,,,,$3826690\
Andre Drummond\\drumman01,CLE,27093019,28751775,,,,,Cap Space,$27093019\
Andre Iguodala\\iguodan01,MIA,17185185,15000000,15000000,,,,Bird Rights,$32185185\
Andre Roberson\\roberan03,OKC,10740741,,,,,,Bird Rights,$10740741\
Andrew Nicholson\\nichoan01,POR,2844429,2844429,2844429,2844429,2844429,,,$14222145\
Andrew Wiggins\\wiggian01,GSW,27504630,29542010,31579390,33616770,,,1st Round Pick,$122242800\
Anfernee Simons\\simonan01,POR,2149560,2252040,3938818,,,,1st Round Pick,$4401600\
Ante Zizic\\zizican01,CLE,2281800,,,,,,1st Round Pick,$2281800\
Anthony Davis\\davisan02,LAL,27093019,28751775,,,,,1st Round Pick,$27093019\
Anzejs Pasecniks\\pasecan01,WAS,482144,,,,,,Minimum Salary,$482144\
Aron Baynes\\baynear01,PHO,5453280,,,,,,Non-Bird Exception,$5453280\
Austin Rivers\\riverau01,HOU,2174318,2369663,,,,,Minimum Salary,$2174318\
Bam Adebayo\\adebaba01,MIA,3454080,5115492,,,,,1st Round Pick,$8569572\
Ben McLemore\\mclembe01,HOU,2028594,2283034,,,,,Minimum Salary,$2028594\
Ben Simmons\\simmobe01,PHI,8113930,29250000,31590000,33930000,36270000,38610000,1st Round pick,$177763930\
Bismack Biyombo\\biyombi01,CHO,17000000,,,,,,Cap Space,$17000000\
Blake Griffin\\griffbl01,DET,34234964,36595996,38957028,,,,Bird Rights,$70830960\
Boban Marjanovic\\marjabo01,DAL,3500000,3500000,,,,,Bi-Annual Exception,$7000000\
Bobby Portis\\portibo01,NYK,15000000,15750000,,,,,Cap Space,$15000000\
Bogdan Bogdanovic\\bogdabo01,SAC,8529386,,,,,,Cap space,$8529386\
Bojan Bogdanovic\\bogdabo02,UTA,17000000,17850000,18700000,19550000,,,Cap Space,$73100000\
Brad Wanamaker\\wanambr01,BOS,1445697,,,,,,Minimum Salary,$1445697\
Bradley Beal\\bealbr01,WAS,27093019,28751775,34502130,37262300,,,Cap Space,$90346924\
Brandon Clarke\\clarkbr01,MEM,2478840,2602920,2726880,4343920,,,1st Round Pick,$5081760\
Brandon Goodwin\\goodwbr01,ATL,522738,1701593,,,,,Minimum Salary,$522738\
Brandon Ingram\\ingrabr01,NOP,7265485,,,,,,1st Round pick,$7265485\
Brandon Knight\\knighbr03,DET,15643750,,,,,,Bird Rights,$15643750\
Brook Lopez\\lopezbr01,MIL,12093024,12697675,13302325,13906976,,,Cap Space,$52000000\
Bruce Brown\\brownbr01,DET,1416852,1663861,,,,,MLE,$1416852\
Bruno Caboclo\\cabocbr01,HOU,1845301,,,,,,Minimum Salary,$1845301\
Bruno Fernando\\fernabr01,ATL,1400000,1517981,1782621,,,,Cap space,$4700602\
Bryn Forbes\\forbebr01,SAS,2875000,,,,,,Early Bird Rights,$2875000\
Buddy Hield\\hieldbu01,SAC,4861208,24431818,22477273,20522727,18568182,,1st Round pick,$90861208\
C.J. Miles\\milescj01,WAS,8730158,,,,,,,$8730158\
C.J. Watson\\watsocj01,ORL,333333,,,,,,,$333333\
